ra dec zspec source id
150.06455994 2.32903504 2.4468183517456055 MOSDEF 14596
150.08644104 2.3403616 2.560331106185913 MOSDEF 15776
150.1207428 2.34443998 2.285957098007202 MOSDEF 16141
150.12252808 2.3471179 2.46909236907959 MOSDEF 16342
150.09768677 2.3481586 2.466883897781372 MOSDEF 16482
150.09420776 2.34853315 2.2750353813171387 MOSDEF 16545
150.12495422 2.35021901 2.2862772941589355 MOSDEF 16594
150.08807373 2.3502934 2.553480386734009 MOSDEF 16609
150.06829834 2.3602519 2.0869650840759277 MOSDEF 17762
150.08358765 2.36336637 2.0850419998168945 MOSDEF 18086
150.15029907 2.36412454 2.4650192260742188 MOSDEF 18116
150.13806152 2.36473179 2.328568458557129 MOSDEF 18206
150.1388855 2.36662579 2.4663960933685303 MOSDEF 18396
150.13232422 2.36893296 2.0055227279663086 MOSDEF 18604
150.12805176 2.36944342 2.463838815689087 MOSDEF 18651
150.12928772 2.36957431 2.0845882892608643 MOSDEF 18668
150.05230713 2.36930799 2.5551838874816895 MOSDEF 18672
150.08647156 2.37146759 2.555387496948242 MOSDEF 18859
150.0973053 2.37178826 2.273742198944092 MOSDEF 18924
150.11199951 2.37263298 2.4570960998535156 MOSDEF 19013
150.14154053 2.37319231 2.4616482257843018 MOSDEF 19098
150.10150146 2.37672329 2.466275215148926 MOSDEF 19439
150.10682678 2.37972808 2.4863808155059814 MOSDEF 19712
150.07575989 2.38064408 2.469412088394165 MOSDEF 19753
150.0665741 2.3811903 2.2213826179504395 MOSDEF 19886
150.05485535 2.38146949 2.046090602874756 MOSDEF 19917
150.06034851 2.38277268 2.1881861686706543 MOSDEF 19985
150.06848145 2.38355184 2.1857078075408936 MOSDEF 20062
150.08201599 2.38666105 2.468007802963257 MOSDEF 20368
150.12336731 2.39652991 2.1243720054626465 MOSDEF 21324
150.05541992 2.40240431 2.551417827606201 MOSDEF 21928
150.11531067 2.40918398 2.515545129776001 MOSDEF 22552
150.0909729 2.41233087 2.2758610248565674 MOSDEF 22882
150.05934143 2.42129493 2.54901385307312 MOSDEF 23663
149.738663 2.310203 2.2386 zDEEP 1292629
149.740479 2.309203 2.1045 zDEEP 1292750
149.742676 2.207033 2.5691 zDEEP 1056880
149.745834 2.163604 2.4215 zDEEP 1063399
149.746368 2.084513 2.1934 zDEEP 822207
149.75592 2.149231 2.4148 zDEEP 1065794
149.757202 1.950291 2.337 zDEEP 595206
149.768021 1.993501 2.198 zDEEP 835336
149.775681 2.363593 2.0911 zDEEP 1284822
149.78273 2.319085 2.5375 zDEEP 1291136
149.78801 2.366391 2.092 zDEEP 1284284
149.790131 2.300397 2.1993 zDEEP 1293890
149.799637 2.054771 2.3701 zDEEP 826676
149.809097 2.263069 2.4505 zDEEP 1048542
149.809219 2.303258 2.1884 zDEEP 1293670
149.810181 2.119593 2.3633 zDEEP 816971
149.81189 2.358407 2.2429 zDEEP 1285450
149.814484 2.223505 2.002 zDEEP 1054287
149.816345 1.979491 2.5458 zDEEP 837889
149.827957 2.185632 2.1356 zDEEP 1060076
149.828491 2.343207 2.498 zDEEP 1287899
149.828918 2.352138 2.0234 zDEEP 1286434
149.836594 1.996264 2.5496 zDEEP 834965
149.837433 2.321982 2.503 zDEEP 1290662
149.839157 1.946491 2.188 zDEEP 595457
149.839478 1.998258 2.546 zDEEP 834939
149.842453 1.983135 2.508 zDEEP 837534
149.843521 2.09454 2.2141 zDEEP 820737
149.843887 2.05336 2.4437 zDEEP 827032
149.844025 2.155147 2.2827 zDEEP 1064600
149.861862 2.322656 2.0128 zDEEP 1290850
149.862167 2.178249 2.28 zDEEP 1061340
149.8638 2.050403 2.0061 zDEEP 827406
149.872055 1.974418 2.5434 zDEEP -99
149.880798 2.287034 2.0878 zDEEP 1044958
149.887848 2.364134 2.0668 zDEEP 1284756
149.889771 2.103703 2.2853 zDEEP 819486
149.890274 2.069648 2.2203 zDEEP 824490
149.890457 2.197477 2.3757 zDEEP 1058280
149.891388 2.175508 2.2841 zDEEP 1060376
149.892715 2.191784 2.275 zDEEP 1058876
149.89299 2.08709 2.3751 zDEEP 821866
149.893936 2.090931 2.2102 zDEEP 821069
149.896469 2.179885 2.4425 zDEEP 1036420
149.89859 2.087574 2.2098 zDEEP 796684
149.901901 2.27071 2.0903 zDEEP 1022637
149.902145 2.212783 2.2784 zDEEP 1031432
149.904358 2.180603 2.5474 zDEEP 1036123
149.910492 2.08395 2.0843 zDEEP 797562
149.911972 2.001466 2.3858 zDEEP 809093
149.912521 2.049648 2.0065 zDEEP 802437
149.916718 2.00914 2.0735 zDEEP 808462
149.917221 1.974457 2.475 zDEEP 813622
149.917633 2.073541 2.5561 zDEEP 799050
149.919693 2.059472 2.432 zDEEP 801109
149.920288 2.020381 2.0468 zDEEP 806598
149.924072 2.311491 2.1515 zDEEP 1268522
149.927475 2.260899 2.4232 zDEEP 1024124
149.929138 2.298248 2.035 zDEEP 1270379
149.93045 2.194517 2.2806 zDEEP 1034158
149.93158 2.061577 2.5556 zDEEP 800920
149.932953 1.962226 2.4515 zDEEP 815321
149.933487 2.1919 2.135 zDEEP -99
149.935944 2.202933 2.0492 zDEEP 1032911
149.936066 2.121758 2.0907 zDEEP 791928
149.936188 2.04738 2.2094 zDEEP 802751
149.936356 2.306538 2.0935 zDEEP 1269266
149.936401 2.346041 2.1025 zDEEP 1263017
149.938019 2.217211 2.4523 zDEEP 1030795
149.938629 2.301513 2.2614 zDEEP 1269946
149.939575 2.197725 2.375 zDEEP 1033661
149.941666 2.286053 2.2045 zDEEP 1020499
149.943192 2.058137 2.2257 zDEEP 801313
149.94838 2.110779 2.317 zDEEP -99
149.948441 2.174262 2.0035 zDEEP 1037312
149.955017 2.315619 2.001 zDEEP 1267773
149.955429 2.093969 2.2198 zDEEP 796052
149.955673 2.142233 2.09 zDEEP 1041248
149.955963 2.230133 2.4187 zDEEP 1028761
149.956696 2.091475 2.5543 zDEEP 796323
149.957352 2.193319 2.2009 zDEEP 1034243
149.958313 1.963904 2.0587 zDEEP 815241
149.959686 2.368352 2.0902 zDEEP 1259269
149.960358 2.157762 2.2969 zDEEP 1039824
149.966354 1.942899 2.33 zDEEP 572244
149.967316 2.226792 2.3405 zDEEP 1029283
149.968704 2.127439 2.1256 zDEEP 1043888
149.970062 2.093404 2.2825 zDEEP 796129
149.972244 2.144865 2.4295 zDEEP 1041333
149.973923 2.019137 2.153 zDEEP 806703
149.9767 2.080727 2.0096 zDEEP 797943
149.978973 2.137399 2.5407 zDEEP 1042395
149.980743 2.292369 2.1018 zDEEP 1044072
149.981262 2.035406 2.4235 zDEEP 804870
149.982941 2.11823 2.051 zDEEP 792498
149.983139 2.11426 2.1803 zDEEP 792779
149.983215 2.140793 2.1326 zDEEP 1041824
149.983978 2.060596 2.2855 zDEEP 800979
149.984558 1.965616 2.5825 zDEEP 815027
149.985168 2.265222 2.5244 zDEEP 1023574
149.988327 2.207003 2.4578 zDEEP 1032335
149.988403 2.060347 2.496 zDEEP 801030
149.989441 1.948968 2.5745 zDEEP 571134
149.992203 2.110844 2.178 zDEEP 793168
149.993576 2.067136 2.4268 zDEEP 800039
