clamato_id ra dec zspec source id gmag rmag imag tomo_flag arcsec_to_COSMOS15_photometry mstar mstar_err sfr_nuv sfr_nuv_corr sfr_nuv_corr_err
0 150.0524292 2.29737902 2.16135 MOSDEF -9999 -99.0 -99.0 -99.0 1 0.3000329204841765 2426622890.62 1194955959.41 9.027985337157016 13.01751967893702 10.532698049176158
1 150.07159424 2.1801362 2.31359 MOSDEF 234 26.258 25.954 26.116 1 0.1186419784035934 957708277.229 496952358.638 1.5074145769348883 2.4355710071414793 1.9866174458073564
2 150.08889771 2.18496251 2.07312 MOSDEF 471 24.657 24.523 24.281 1 0.17995571876555513 3625550410.56 1862048181.02 8.779906353433782 16.35278383657025 10.980793780723818
3 150.09063721 2.18515229 2.06784 MOSDEF 532 -99.0 -99.0 -99.0 1 0.29530419835545324 3034857478.28 1401660360.32 3.476790198721602 8.358601917806181 4.64171582363778
4 150.10438538 2.18524051 2.08101 MOSDEF 541 25.04 24.904 24.634 1 0.04042670054145889 510023240.482 104741424.746 4.337670732902442 5.995213143446098 4.679634044853292
5 150.0716095 2.18990088 2.29032 MOSDEF 964 25.843 25.294 24.981 1 0.05625584460755141 3219031793.68 1575809214.09 3.3365898131375755 7.651884402888221 4.328579348090783
6 150.14967346 2.19105363 2.10025 MOSDEF 1014 23.726 23.18 22.754 1 0.18614865791511717 108570965166.0 27742537392.2 27.135822400934305 164.61461033483576 34.31199712366361
7 150.10554504 2.19054222 2.23403 MOSDEF 1067 25.909 25.669 25.528 1 0.06261368935703435 1174983329.96 652683258.002 2.794471626778774 4.681333969050294 3.5666169273033694
8 150.11557007 2.19142079 2.0793 MOSDEF 1148 25.601 25.202 25.13 1 0.038511911250816315 3174863045.37 1686687434.7 3.0189952504989694 6.845476519675459 4.171072604900959
9 150.06974792 2.19376016 2.30316 MOSDEF 1382 -99.0 -99.0 -99.0 1 0.8656440261214745 24408388628.8 14266205278.9 18.626644081894096 43.593925068414656 31.71042212256067
10 150.1565094 2.1955905 2.43578 MOSDEF 1538 24.271 23.9 23.811 1 0.08394883230449872 9120671273.33 4113670742.9 14.606759507421886 31.40026197478814 18.51745490800761
11 150.05900574 2.19767427 2.29986 MOSDEF 1740 25.834 25.261 25.029 1 0.23809871924228998 5462847527.27 2795461251.36 5.2162121665375105 13.654145698724616 7.235459870029094
12 150.05488586 2.1982007 2.297 MOSDEF 1769 26.41 25.452 24.916 1 0.05115465151651474 211064411717.0 61608050789.5 5.870028102733447 11.844864795112992 9.982771660854604
13 150.05769348 2.19742513 2.29856 MOSDEF 1795 -99.0 -99.0 -99.0 1 0.9237388962752792 3070582549.4 1546440734.59 3.4115115395606566 7.6831492985536745 4.602123078694195
14 150.06164551 2.20538759 2.31585 MOSDEF 2575 26.291 25.534 25.279 1 0.05951972004053853 66994170272.5 22700969951.0 3.144210041709372 16.564448582605216 4.861631416464012
15 150.12947083 2.2071979 2.30741 MOSDEF 2672 24.099 23.654 23.406 1 0.1258294368900867 23952192088.7 8964482985.52 17.40077554395172 55.17810619341122 22.050798316390292
16 150.05958557 2.20729566 2.29807 MOSDEF 2786 25.497 25.035 24.907 1 0.08120316508520276 4830695138.27 2303652260.04 4.283021461492827 11.640868288755666 5.95684409132297
17 150.07241821 2.20855379 2.3169 MOSDEF 2872 25.896 25.684 25.504 1 0.06291471844504042 13995253986.3 6490896501.64 3.407133892757735 14.58484376242473 4.932338911783188
18 150.09695435 2.20917034 2.17336 MOSDEF 2887 -99.0 -99.0 -99.0 1 0.22054981195493395 6896536134.11 3173344167.09 4.520163398776393 11.980841437590687 6.095652633604289
19 150.12249756 2.21033955 2.30806 MOSDEF 3112 25.177 24.598 24.534 1 0.044221189317844335 9107956997.83 4071408885.73 6.749064442487813 20.98461361179215 9.191758603847015
20 150.13258362 2.21209502 2.10647 MOSDEF 3146 -99.0 -99.0 -99.0 1 0.5999949926191462 146267820979.0 24149215554.5 4.609811292044483 36.40795099520819 5.208714309512274
21 150.07600403 2.21182942 2.10206 MOSDEF 3182 -99.0 -99.0 -99.0 1 0.7350046825387233 71119477800.5 14138091509.3 20.15218536982669 123.08245960649437 23.751616971589513
22 150.11828613 2.21094251 2.17325 MOSDEF 3185 25.456 25.066 24.845 1 0.09302356575281442 7125640278.66 3483039887.28 5.94530655036524 15.87533205054099 8.06367033086619
23 150.11592102 2.21166992 2.08444 MOSDEF 3226 25.19 24.829 24.694 1 0.13007476167194187 7198036574.33 3228320891.74 9.166485558654507 20.846733411343784 11.773294170180689
24 150.14840698 2.21313357 2.30719 MOSDEF 3324 24.868 24.414 24.231 1 0.03380943639156327 32780556503.9 10588326993.7 11.392762915311968 53.38290385714473 15.372898087847702
25 150.10473633 2.21573091 2.32469 MOSDEF 3626 23.648 23.519 23.492 1 0.054637244325105694 4855257004.86 2086982845.7 17.044012694536036 26.304884012999764 20.247914989201135
