zmid F_mean
1.9249999999999998 0.4889453842132229
1.9749999999999999 0.7842401956102589
2.025 0.8910048830538617
2.0749999999999997 0.8510648620778218
2.125 0.8830462802844888
2.1750000000000003 0.7999628414761142
2.225 0.8354540367693436
2.275 0.8278530106570425
2.325 0.8434715028203267
2.3750000000000004 0.8506264314131904
2.4250000000000003 0.766990157032827
2.475 0.7200881037441708
2.5250000000000004 0.7596171189441426
2.5750000000000006 0.7423297967989881
2.6250000000000004 0.7585211795849518
2.6750000000000003 0.7564363645047025
