|          ra|       dec|  zspec| source|        id|  gmag|  rmag|  imag|tomo_flag|
|      double|    double| double|   char|      long|double|double|double|     long|
|         deg|       deg|       |       |          |      |      |      |         |
|        null|      null|   null|   null|      null|  null|  null|  null|     null|
 150.14228821 2.28422689 2.19454  MOSDEF      10280  24.11 23.861 23.859         1 
 150.08576965 2.28514099 2.10103  MOSDEF      10314  -99.0  -99.0  -99.0         1 
 150.09515381 2.28778839 2.22007  MOSDEF      10626 24.712 24.484  24.36         1 
 150.09527588 2.28790689 2.36332  MOSDEF      10657  -99.0  -99.0  -99.0         1 
 150.07058716 2.28918958 2.24647  MOSDEF      10719  -99.0  -99.0  -99.0         1 
 150.07089233 2.28932238 2.25044  MOSDEF      10766  -99.0  -99.0  -99.0         1 
 150.07392883 2.29798269   2.089  MOSDEF      11494   26.0 25.603 24.858         1 
 150.11932373 2.29685378 2.09688  MOSDEF      11530 23.919 23.831 23.872         1 
 150.09049988  2.2973218 2.52736  MOSDEF      11597 26.014 25.608 25.687         1 
 150.06837463 2.29837227  2.1601  MOSDEF      11615 24.814 24.491 24.232         1 
 150.13363647 2.30281043 2.41119  MOSDEF      12057 26.565   25.8 24.952         1 
 150.09968567 2.31181264 2.44256  MOSDEF      12995 26.577 25.804 25.402         1 
 150.11509705 2.31529069 2.16715  MOSDEF      13296  -99.0  -99.0  -99.0         1 
 150.11030579 2.31475353 2.30898  MOSDEF      13299 25.845 25.557 25.196         1 
 150.13871765 2.31530762 2.15084  MOSDEF      13364 25.204 24.876 24.881         1 
 150.11271667 2.31943941  2.1659  MOSDEF      13701 24.048  23.72 23.472         1 
 150.08644104  2.3403616 2.56033  MOSDEF      15776 26.034 25.447 25.552         0 
  150.1207428 2.34443998 2.28596  MOSDEF      16141 25.036 24.713 24.613         1 
 150.12252808  2.3471179 2.46909  MOSDEF      16342 25.319 24.625 24.534         1 
 150.09768677  2.3481586 2.46688  MOSDEF      16482 25.701  25.01 24.782         1 
 150.09420776 2.34853315 2.27504  MOSDEF      16545 23.642  23.32 23.234         1 
 150.12495422 2.35021901 2.28628  MOSDEF      16594 24.692 24.329 24.296         1 
 150.08807373  2.3502934 2.55348  MOSDEF      16609 24.976 24.394 24.337         0 
 150.06829834  2.3602519 2.08697  MOSDEF      17762 25.154 24.802 24.788         1 
 150.08358765 2.36336637 2.08504  MOSDEF      18086  -99.0  -99.0  -99.0         1 
 150.15029907 2.36412454 2.46502  MOSDEF      18116  -99.0  -99.0  -99.0         1 
 150.13806152 2.36473179 2.32857  MOSDEF      18206 24.894 24.519 24.366         1 
  150.1388855 2.36662579  2.4664  MOSDEF      18396 24.758 24.241 24.148         1 
 150.13232422 2.36893296 2.00552  MOSDEF      18604 24.369 24.155 24.003         0 
 150.12805176 2.36944342 2.46384  MOSDEF      18651  -99.0  -99.0  -99.0         1 
 150.12928772 2.36957431 2.08459  MOSDEF      18668   26.0 26.482 26.241         1 
 150.08647156 2.37146759 2.55539  MOSDEF      18859 24.871 24.051  23.75         0 
  150.0973053 2.37178826 2.27374  MOSDEF      18924 24.504 24.369 24.373         1 
 150.11199951 2.37263298  2.4571  MOSDEF      19013 24.387 24.088 23.998         1 
 150.14154053 2.37319231 2.46165  MOSDEF      19098 25.536 24.763  24.44         1 
 150.10150146 2.37672329 2.46628  MOSDEF      19439 24.713 24.386 24.377         1 
 150.10682678 2.37972808 2.48638  MOSDEF      19712 26.962 26.225 25.737         1 
 150.07575989 2.38064408 2.46941  MOSDEF      19753  23.72 23.354 23.273         1 
  150.0665741  2.3811903 2.22138  MOSDEF      19886  -99.0  -99.0  -99.0         1 
 150.05485535 2.38146949 2.04609  MOSDEF      19917 25.448 25.111 24.993         0 
 150.06034851 2.38277268 2.18819  MOSDEF      19985 23.306 22.981 22.645         1 
 150.06848145 2.38355184 2.18571  MOSDEF      20062 23.936 23.566 23.354         1 
 150.08201599 2.38666105 2.46801  MOSDEF      20368 24.856 24.489 24.365         1 
 150.12336731 2.39652991 2.12437  MOSDEF      21324 25.749 25.345 25.291         1 
 150.05541992 2.40240431 2.55142  MOSDEF      21928 24.861 24.852 24.219         0 
 150.11531067 2.40918398 2.51555  MOSDEF      22552 24.809 24.458 24.354         1 
  150.0909729 2.41233087 2.27586  MOSDEF      22882 25.007 24.623 24.604         1 
 150.05934143 2.42129493 2.54901  MOSDEF      23663 25.164 24.463 24.237         1 
  150.1833496  2.2019176 2.18818   ZFIRE       1085 25.318 24.998 24.865         1 
   150.129837  2.2028654 2.09755   ZFIRE       1180 25.163 25.201 25.135         1 
   150.190567  2.2038417 2.03884   ZFIRE       1236  -99.0  -99.0  -99.0         0 
  150.1171722  2.2044213 2.08516   ZFIRE       1303 26.318  25.83  25.67         1 
   150.203064  2.2055438 2.18882   ZFIRE       1349 25.102 24.669 24.535         1 
  150.1234283  2.2056477 2.09779   ZFIRE       1385 24.455 24.346 24.182         1 
  150.0969696  2.2091703 2.17316   ZFIRE       1617  -99.0  -99.0  -99.0         1 
  150.1326904  2.2118645 2.10546   ZFIRE       1787  -99.0  -99.0  -99.0         1 
  150.1680908  2.2112861 2.17045   ZFIRE       1814 25.115 24.694 24.491         1 
  150.1569519  2.2128756 2.08668   ZFIRE       1930 24.653 24.424 24.386         1 
  150.1525879  2.2130544  2.3065   ZFIRE       1961 26.232 25.823 25.618         1 
  150.1656494  2.2136619 2.00856   ZFIRE       2007 25.443 25.145 24.929         0 
  150.1004028  2.2140844 2.31711   ZFIRE       2061 25.558  25.21 25.211         1 
  150.0983887  2.2152505 2.09658   ZFIRE       2117 26.229   25.8 25.445         1 
  150.1653137  2.2158439 2.01226   ZFIRE       2153  24.28 24.064 23.949         0 
   150.190567  2.1884806 2.15725   ZFIRE        237 24.827 24.596 24.387         1 
  150.0975342  2.2184007 2.08079   ZFIRE       2370 25.646 25.162 24.952         1 
  150.1937866  2.2201109 2.15115   ZFIRE       2522 24.486 24.172 24.067         1 
  150.1216278  2.2205873 2.22877   ZFIRE       2526  -99.0  -99.0  -99.0         1 
  150.0857239  2.2231712 2.19703   ZFIRE       2709 24.744 24.442 24.395         1 
  150.0895386  2.2235634 2.08291   ZFIRE       2715 24.628 24.407 24.229         1 
  150.1172638  2.2238791 2.08583   ZFIRE       2723 24.934 24.619 24.215         1 
   150.119339  2.2241209 2.22853   ZFIRE       2765 24.206 23.853 23.652         1 
  150.0976105  2.2242281 2.09806   ZFIRE       2790 25.142 24.946 24.678         1 
  150.0567017  2.2249906  2.2005   ZFIRE       2864   26.0 26.131 26.213         1 
  150.1719971  2.2262583 2.20004   ZFIRE       2943 25.855 25.711 25.919         1 
  150.1150665  2.2271106 2.30371   ZFIRE       3021 25.993 25.804  25.93         1 
  150.0996246   2.228097 2.09784   ZFIRE       3052  -99.0  -99.0  -99.0         1 
  150.1209106  2.2288201 2.22705   ZFIRE       3074  24.66 24.049 23.795         1 
  150.0876465   2.228945 2.12785   ZFIRE       3119 25.076 25.029 24.889         1 
  150.1383362  2.2299917 2.14495   ZFIRE       3191 24.925 24.616 24.431         1 
  150.1843414  2.2313366 2.19184   ZFIRE       3274 24.543 24.255 24.159         1 
  150.1211243   2.232429 2.22873   ZFIRE       3353 25.196 24.985  25.04         1 
  150.0542755  2.2331657 2.17564   ZFIRE       3357 24.758 24.276 24.037         1 
  150.1361237   2.233232 2.03862   ZFIRE       3373  21.95  21.45 21.268         0 
   150.190506  2.1906483 2.15487   ZFIRE        342  25.63 25.109 24.672         1 
  150.1351013   2.234504 2.14454   ZFIRE       3514 25.711   25.7 25.448         1 
  150.1913147  2.2358859 2.27778   ZFIRE       3518 25.505 25.031 24.883         1 
  150.1825714  2.2358665  2.1889   ZFIRE       3527 24.706 24.205 24.033         1 
  150.0799713  2.2351458  2.1014   ZFIRE       3532 24.736 24.618 24.449         1 
  150.0752563  2.2361019 2.09552   ZFIRE       3577 24.925 24.555 24.261         1 
  150.1133118  2.2356763 2.45677   ZFIRE       3593 25.464 25.044  25.18         1 
  150.1120911  2.2368469  2.2281   ZFIRE       3598 27.037 26.114 25.696         1 
  150.1970367  2.2361326 2.29389   ZFIRE       3619 26.129 25.727 25.735         1 
  150.1009216  2.2365699   2.097   ZFIRE       3622 24.664 24.351 24.218         1 
  150.1249237   2.236979 2.10031   ZFIRE       3633 24.335 24.045   23.8         1 
  150.0580597  2.2362132 2.19312   ZFIRE       3641  -99.0  -99.0  -99.0         1 
  150.1691284  2.2383816 2.12674   ZFIRE       3655 24.325 23.998 23.671         1 
   150.063446   2.237031 2.17599   ZFIRE       3680 24.933 24.623 24.512         1 
  150.0707703  2.2381561 2.17672   ZFIRE       3714 25.752 25.319 25.084         1 
   150.102356  2.2381842 2.09756   ZFIRE       3765  25.02 24.756  24.85         1 
  150.0790253    2.23947 2.17738   ZFIRE       3815 24.012 23.729 23.634         1 
  150.0947113  2.2398994 2.10266   ZFIRE       3842 25.183 24.698  24.52         1 
  150.1094666  2.2400432 2.44112   ZFIRE       3844 25.258 24.727 24.762         1 
  150.0736084  2.2398226 2.30055   ZFIRE       3883 25.443 25.402 25.073         1 
   150.171875  2.2406981 2.08767   ZFIRE       3904   26.0 27.087 25.862         1 
  150.1226959  2.2408874 2.17264   ZFIRE       3949 26.716 26.291  26.36         1 
  150.1798706  2.2423265 2.22162   ZFIRE       4010 25.522 25.263 25.271         1 
  150.0952606  2.2423258 2.09808   ZFIRE       4035 24.792  24.56  24.44         1 
  150.0981293  2.2428052 2.17442   ZFIRE       4037   26.0 26.013 26.181         1 
  150.1373596  2.2421381  2.2231   ZFIRE       4043 25.691 25.306  25.33         1 
  150.0943604  2.2429645 2.09788   ZFIRE       4091  25.21  24.87 24.881         1 
  150.0718231   2.243396 2.43969   ZFIRE       4099 26.028 26.205 25.947         1 
  150.0637665  2.2439675 2.43968   ZFIRE       4123 25.924 25.148  24.83         1 
  150.0524597  2.2455995 2.43678   ZFIRE       4148 25.281  24.37 24.089         1 
   150.099411  2.2441485 2.09508   ZFIRE       4172 25.221 25.195 25.314         1 
  150.0930634  2.2449212 2.09911   ZFIRE       4203  -99.0  -99.0  -99.0         1 
   150.204071  2.2455301 2.18556   ZFIRE       4260 25.458 25.277 25.306         1 
   150.183075  2.2459276 2.41268   ZFIRE       4267 26.668 26.124 26.036         1 
  150.1750641  2.2472029 2.12477   ZFIRE       4366 25.185 25.013 24.794         1 
  150.2175293  2.2478712 2.17447   ZFIRE       4389 25.328  24.89  24.77         1 
  150.0884399  2.2484744 2.30101   ZFIRE       4440 24.333 24.191 24.244         1 
  150.0765839  2.2496667 2.30109   ZFIRE       4461 25.372 25.071 24.961         1 
  150.0771942  2.2492738  2.3073   ZFIRE       4488 25.813 25.725  25.27         1 
  150.0675812  2.2502961 2.09585   ZFIRE       4595 25.864 25.651 25.387         1 
  150.0743256  2.2516196  2.1018   ZFIRE       4645 25.291 25.076 25.005         1 
  150.2052155  2.2513421 2.09221   ZFIRE       4647   25.0 24.845 24.761         1 
  150.0733795   2.251641 2.10186   ZFIRE       4655 25.846 25.579 25.805         1 
  150.0716553  2.2525034 2.30413   ZFIRE       4724 25.779 25.797 25.587         1 
  150.0862427  2.2529547 2.17712   ZFIRE       4746 25.554 25.089  24.94         1 
  150.1473694  2.2544119 2.16633   ZFIRE       4796 25.969 25.775 25.546         1 
  150.2307281  2.2554996 2.44241   ZFIRE       4866  -99.0  -99.0  -99.0         1 
  150.0559387  2.2557058 2.09741   ZFIRE       4930 25.184 24.883 25.063         1 
   150.183548  2.2561803 2.09132   ZFIRE       4938 25.773 25.286 25.065         1 
  150.0369415  2.2569077 2.09558   ZFIRE       4961  -99.0  -99.0  -99.0         1 
  150.1055908  2.2575088  2.1985   ZFIRE       5016 25.562 25.406 25.137         1 
  150.0667419  2.2577231 2.10229   ZFIRE       5029  -99.0  -99.0  -99.0         1 
  150.0708771  2.2584875  2.3028   ZFIRE       5110 26.027 25.616 25.376         1 
  150.0708923   2.258769 2.29125   ZFIRE       5124  -99.0  -99.0  -99.0         1 
  150.1896057  2.2592144 2.09493   ZFIRE       5165  -99.0  -99.0  -99.0         1 
  150.0626221  2.2608306 2.09242   ZFIRE       5253   26.0  27.05 26.725         1 
  150.0662231  2.2621527 2.10897   ZFIRE       5269 24.539  24.37 23.947         1 
  150.0913239  2.2611146 2.08613   ZFIRE       5298 25.239 25.285 25.387         1 
  150.1187897  2.2623525  2.1986   ZFIRE       5338  24.61 24.312 24.188         1 
  150.0785065  2.2618921 2.16293   ZFIRE       5342 25.458 25.152 25.117         1 
  150.1834259  2.2628801  2.0889   ZFIRE       5381 25.323 24.994 24.938         1 
  150.2016907  2.2625613 2.06087   ZFIRE       5385 25.173   25.0 24.874         1 
  150.0662231  2.2631197 2.09794   ZFIRE       5408 25.438 25.253 24.929         1 
  150.2036591  2.2636604 2.21282   ZFIRE       5419 25.338 24.839 24.771         1 
  150.2296448  2.2653875 2.18286   ZFIRE       5582 24.888 24.734 24.558         1 
  150.0983887  2.2659245 2.08952   ZFIRE       5609 24.769 24.426 24.386         1 
  150.2009735  2.2665324 2.24293   ZFIRE       5630 25.229 24.833 24.662         1 
  150.0533447  2.2668409 2.09601   ZFIRE       5643 25.611 25.155 25.034         1 
  150.0583649  2.2672179 2.09294   ZFIRE       5696  24.97 24.816 24.587         1 
  150.0987091  2.2678106 2.09198   ZFIRE       5745 26.388 25.062   25.5         1 
  150.0974274  2.2684367 2.09198   ZFIRE       5751 23.799 23.557 23.534         1 
  150.1907501  2.2684357 2.09149   ZFIRE       5808 25.839  25.09 25.165         1 
  150.0689392  2.2692676 2.16257   ZFIRE       5829 24.353 23.869 23.818         1 
  150.0609436  2.2696433 2.10419   ZFIRE       5870 25.326 24.999 25.017         1 
  150.0970917  2.2701759 2.09525   ZFIRE       5914 24.309 24.152 24.149         1 
  150.0806122  2.2711763 2.41277   ZFIRE       6018 25.481 25.121 25.308         1 
   150.193222  2.2727983 2.08918   ZFIRE       6027 25.324 24.778 24.487         1 
  150.1944122  2.2733262 2.09844   ZFIRE       6114  -99.0  -99.0  -99.0         1 
  150.0619049  2.2783875 2.16314   ZFIRE       6485 26.318  25.84 25.626         1 
  150.0904083  2.2787893 2.08775   ZFIRE       6523 25.411  25.12 25.024         1 
  150.0686035  2.2797525 2.12501   ZFIRE       6553 25.549 24.955 24.645         1 
  150.0731354  2.2843585 2.12649   ZFIRE       6869 24.881 24.632 24.583         1 
  150.0834198  2.2857671  2.0637   ZFIRE       6908  24.43 24.052 23.696         1 
  150.1031189  2.2855148 2.12864   ZFIRE       6954 25.453 25.183  25.07         1 
  150.0547943   2.289252   2.162   ZFIRE       7137 24.888 24.478 24.418         1 
  150.1104736  2.2941539 2.56072   ZFIRE       7449  26.36 25.728 25.308         0 
  150.0683746  2.2983763 2.16043   ZFIRE       7676 24.814 24.491 24.232         1 
  150.0697632  2.2994342 2.19897   ZFIRE       7774  -99.0  -99.0  -99.0         1 
   150.074585  2.3019898 2.09372   ZFIRE       7910 26.172 25.457 25.147         1 
  150.0625458  2.3023283 2.10152   ZFIRE       7930 24.189 23.895 23.898         1 
  150.1086578  2.3033302 2.06421   ZFIRE       7948  -99.0  -99.0  -99.0         1 
  150.0622711  2.3044007 2.16269   ZFIRE       8108 25.088 24.757 24.765         1 
  150.0773163  2.3047841 2.09267   ZFIRE       8119 24.438 24.367 24.093         1 
  150.0774841  2.3062286 2.00506   ZFIRE       8259 25.912 25.529 25.332         0 
  150.1054535  2.3128126 2.28293   ZFIRE       8623  -99.0  -99.0  -99.0         1 
  150.1055756  2.3142281 2.28166   ZFIRE       8735 26.087 25.358 25.097         1 
   150.099884  2.3196776 2.04487   ZFIRE       9112  -99.0  -99.0  -99.0         0 
  150.1000977  2.3204081 2.48749   ZFIRE       9135 24.996 24.332  24.16         1 
  150.0730896  2.3264444 2.09004   ZFIRE       9571 24.891 24.169 24.075         1 
  150.0896301  2.3315647 2.04158   ZFIRE       9922 25.297 24.832 24.671         0 
    150.08844    2.24847   2.301 CLAMATO        871 24.333 24.191 24.244         1 
    150.03569     2.2896    2.45 CLAMATO        941 24.006 23.574 23.461         1 
    150.03355    2.23549   2.555 CLAMATO        966 24.603 24.456 24.505         0 
    150.05382      2.185    2.56 CLAMATO       1003 24.742 24.615 24.417         0 
    150.33495    2.36654   2.315 CLAMATO       1181 24.377 24.144 24.032         1 
    150.14885    2.38391   2.507 CLAMATO       1239 23.294 23.034  22.95         1 
     150.1015    2.37672   2.464 CLAMATO       1245 24.713 24.386 24.377         1 
    150.02322    2.37721   2.376 CLAMATO       1321 24.438 24.052 24.155         1 
    150.07571    2.47717   2.466 CLAMATO       1543 24.795 24.577 24.538         1 
    150.02586    2.47677    2.45 CLAMATO       1584 24.166 23.928 23.806         1 
     149.9453    2.26423   2.444 CLAMATO       1878 24.477 24.297 24.225         0 
    150.24112     2.2032   2.153 CLAMATO      12381 24.053 23.593 23.491         1 
    150.10333    2.25851   2.437 CLAMATO      12541 24.529  24.01 23.932         1 
    150.09888    2.16134   2.417 CLAMATO      12722 25.072 24.444 24.369         1 
    150.04671    2.25102   2.284 CLAMATO      12836 23.955 23.888 23.796         1 
    150.03506    2.20399   2.418 CLAMATO      12913  24.75 24.528 24.418         1 
     150.3867    2.37505   2.456 CLAMATO      14852 24.801 24.586 24.502         1 
    150.09714    2.45167   2.479 CLAMATO      15035 24.573 24.344 24.272         1 
    150.16531    2.42249   2.506 CLAMATO      15059 24.161 24.137 24.103         1 
      150.112    2.37263   2.457 CLAMATO      15140 24.387 24.088 23.998         1 
    150.09421    2.34853   2.274 CLAMATO      15171 23.642  23.32 23.234         1 
    150.05934    2.42129   2.549 CLAMATO      15323 25.164 24.463 24.237         1 
    149.98645    2.37884   2.545 CLAMATO      15363 24.853 24.846 24.926         1 
    150.00044    2.37243   2.418 CLAMATO      15373 24.794 24.526 24.396         1 
    150.04306    2.31694    2.44 CLAMATO      15473 24.716 24.506 24.366         1 
    149.95932    2.30758   2.555 CLAMATO      15492 23.824 23.555 23.514         0 
      150.106    2.49014   2.492 CLAMATO      17728 24.194 23.833  23.82         1 
    150.06485     2.3416   2.087 CLAMATO       1910 24.333 24.041 23.848         1 
    150.03697    2.36619    2.19 CLAMATO      15382 24.222 23.799 23.575         1 
    150.09453    2.35827   2.461 CLAMATO      15159 23.786 23.523 23.414         1 
    150.06941    2.32126   2.092 CLAMATO       1269 24.538 24.401 24.316         1 
    150.06255    2.30233   2.101 CLAMATO       1277 24.189 23.895 23.898         1 
    150.06163    2.28314   2.375 CLAMATO        852 24.501 24.319 24.266         1 
    150.06664    2.32434   2.218 CLAMATO       1267 24.779 24.481 24.326         1 
     150.0827    2.16487    2.26 CLAMATO      12714 24.311  23.97 23.761         1 
    150.07903    2.23947   2.175 CLAMATO      12584 24.012 23.729 23.634         1 
    150.00296    2.24145   2.267 CLAMATO        962 24.193 24.017 24.036         1 
    149.99504     2.2398   2.442 CLAMATO        965 24.404 23.991  23.87         1 
    149.95604    2.23013   2.421 CLAMATO        974 24.248 23.914 23.838         1 
    149.98834    2.20705   2.458 CLAMATO        990 24.141 23.483 23.387         1 
    149.99481    2.21234   2.556 CLAMATO        986 24.374 24.009  23.96         0 
    150.11272    2.31944   2.168 CLAMATO       1906 24.048  23.72 23.472         1 
    150.12419    2.34884   2.513 CLAMATO      15182 24.743 24.593 24.627         1 
    150.15688    2.30079   2.502 CLAMATO      15268 24.632 24.439 24.355         1 
    150.14354    2.28177   2.408 CLAMATO      12505 24.246 23.674 23.598         1 
    150.11501     2.3276   2.552 CLAMATO      15214 24.277 24.086 24.048         0 
      150.161     2.2759   2.504 CLAMATO        856  24.75 24.598 24.514         1 
    150.15979    2.37123    2.46 CLAMATO       1753 24.386 23.892 23.873         1 
    150.14763    2.36719   2.455 CLAMATO       1754 23.979 23.856 23.805         1 
    150.16002    2.35477   2.556 CLAMATO       1252  24.52 24.348 24.363         0 
    150.11871    2.33762   2.552 CLAMATO       1262 24.264 23.881 23.799         0 
    150.12146    2.23103   2.229 CLAMATO      12598   24.6 24.573   24.5         1 
    150.12947     2.2072   2.305 CLAMATO       1886 24.099 23.654 23.406         1 
     150.1651    2.22747   2.437 CLAMATO      12604 24.166 24.183 24.055         1 
    150.11934    2.22412   2.225 CLAMATO        885 24.206 23.853 23.652         1 
    150.16074    2.15474   2.231 CLAMATO        925 24.085 23.766  23.63         1 
    150.10474    2.21573   2.321 CLAMATO        892 23.648 23.519 23.492         1 
    150.12111    2.23543   2.432 CLAMATO        877 24.175 24.203 24.194         1 
    149.97592    2.33116    2.09 CLAMATO      15449 23.532 23.265 23.139         1 
    149.98756    2.30862   2.165 CLAMATO      15488  24.58 24.457 24.361         1 
    149.97438    2.30179   2.097 CLAMATO      15506 23.546  23.23 23.078         1 
    149.99364    2.36083   2.256 CLAMATO       1330 23.467   23.2 23.112         1 
     150.0118    2.32297   2.465 CLAMATO       1345 25.093 24.521 24.488         1 
    150.24263    2.35848   2.278 CLAMATO      14888 24.448 24.179  24.04         1 
    150.23189    2.33713   2.456 CLAMATO      14925 24.009 23.879 23.789         1 
    150.22118    2.37094   2.517 CLAMATO      15146 24.952 24.668 24.673         1 
     150.2346    2.33237   2.505 CLAMATO      14947 24.151  24.14 24.201         1 
    150.22505    2.35619   2.507 CLAMATO      15173 24.043 23.602 23.486         1 
